Posicion;id;Descripción;Cantidad
B - C1 - N4;110150-S04;Rines rojos - Rectángulo 2 puntos negro;121
B - C1 - N5;303540064;Rectángulo 4 puntos azul;91
B - C1 - N6;310093215;Carenaje rojo - Rectángulo 8 puntos morado;89
B - C1 - N7;304600208;Rectángulo 16 puntos amarillo;97
B - C1 - N8;310096410;Rectángulo 8 puntos morado - Rectángulo 4 puntos gris;120
B - C2 - N1;305660051;Rectángulo 8 puntos azul - Rectángulo 16 puntos verde;121
B - C2 - N2;127082716;Pinza azul / morado;84
B - C2 - N3;310080814;Hélice  Verde;100
B - C2 - N4;340311036;Rectángulo 16 puntos rojo - Rectángulo 8 puntos azul;90
B - C2 - N5;340311001;Soporte blanco ;150
B - C2 - N6;340311027;Porta ejes negro cuadrado - Plana verde;116
B - C2 - N7;304600015;Rectángulo 8 puntos gris - Rectángulo 4 puntos gris;91
B - C2 - N8;310096409;Rectángulo 16 puntos azul - Rectángulo 8 puntos amarillo;92
B - C3 - N1;303420136;Vaquero variado azul;105
B - C3 - N2;127082717;Probeta hueso amarilla;79
B - C3 - N3;310094033;Rectángulo 16 puntos verde - Rectángulo 8 puntos gris;92
B - C3 - N4;303420025;Rectángulo 8 puntos gris - Plana roja;105
B - C3 - N5;340311034;Medias llantas;201
B - C3 - N6;360750100;Trapecio mediano amarillo;113
B - C3 - N7;340300605;Trapecio mediano negro;121
B - C3 - N8;304600036;Rectángulo 8 puntos gris - Triángulo azul;93
B - C4 - N1;127082718;Tapa amarilla;92
B - C4 - N2;310081238;Rectángulo 8 puntos azul - Porta ejes negro redondo;79
B - C4 - N3;310093240;Vara naranjada;100
B - C4 - N4;305660055;Rectángulo 16 puntos rojo - Rectángulo 2 puntos gris;87
B - C4 - N5;304600010;Porta ejes negro redondo;100
B - C4 - N6;315077021;Triángulo negro plano;181
B - C4 - N7;310302206;Rectángulo 8 puntos amarillo - Rectángulo 2 puntos morado;104
B - C4 - N8;0311060SS2;Rectángulo 4 puntos rojo - Rectángulo 8 puntos morado;99
B - C5 - N1;340300700;Rectángulo 8 puntos gris - Rectángulo 4 puntos naranjado;85
B - C5 - N2;127082719;Pinza fucsia ;83
B - C5 - N3;310093242;Rectángulo 16 puntos azul - Triángulo negro;80
B - C5 - N4;304600146;Rectángulo 16 puntos amarillo - Rectángulo 2 puntos rojo;80
B - C5 - N5;315077011;Rectángulo 16 puntos amarillo - Rectángulo 16 puntos azul / morado;88
B - C5 - N6;310302213;Rectángulo 8 puntos naranja;115
B - C5 - N7;300043030;Trapecio pequeño morado;118
B - C5 - N8;310095804;Rectángulo 8 puntos gris - Rectángulo 2 puntos rojo;79
B - C6 - N1;340311046;Rectángulo 8 puntos azul;80
B - C6 - N2;127082720;Pinza verde ;90
B - C6 - N3;310093241;Rectángulo 8 puntos morado - Rectángulo 2 puntos rojo;91
B - C6 - N4;340311020;Rectángulo 16 puntos azul / morado - Rectángulo 16 puntos verde;76
B - C6 - N5;304600151;Pelota ping pong fucsia;70
B - C6 - N6;304600015;Rectángulo 8 puntos gris - Rectángulo 4 puntos gris;90
B - C6 - N7;318900002;Trapecio pequeño verde ;123
B - C6 - N8;315077012;Trapecio mediano blanco;137
B - C7 - N1;303480062;Trapecio mediano morado;115
